Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Year Of Experiences
Data Engineer,data engineer,Any Level,N/A,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,Hà Nội,Negotiable,"Human Resources, Nhân Sự, Talent Recruitment, Tuyển Dụng, Tuyển Dụng Nhân Sự",Vietnamworks,3 năm kinh nghiệm
Chuyên Viên Vận Hành Hệ Thống - System Administrator - Khối Công Nghệ Thông Tin (HO24.366),system administrator,Any Level,N/A,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Hà nội,Negotiable,"Ansible, Core Banking, Linux, System Administration, Grafana",Vietnamworks,1 năm kinh nghiệm
Nhân Viên IT (ERP System),IT professional,Any Level,N/A,TKG Taekwang VINA,Hồ Chí Minh,$400.00-700.00,"IT Software, IT, IT Operations",Vietnamworks,1 năm kinh nghiệm
Giám Sát Công Nghệ Thông Tin,system administrator,Any Level,N/A,Công Ty Cổ Phần Tập Đoàn Đầu Tư Khôi Nguyên,Hồ Chí Minh,Negotiable,"Giám Sát Hệ Thống Mạng, Hệ Thống Active Directory, Quản Trị Hạ Tầng CNTT, Windows Server",Vietnamworks,2 năm kinh nghiệm
"Senior Consultant, SALESFORCE (CRM)",data scientist,Senior,N/A,Chi Nhánh Công Ty TNHH KPMG,Hồ Chí Minh,Negotiable,"Analytical Thinking, Business Process Design, Project Management, Salesforce, Solution Design",Vietnamworks,5 năm kinh nghiệm
Kỹ Sư Phần Mềm Ứng Dụng Desktop,backend developer,Any Level,N/A,Công Ty Cổ Phần Đầu Tư Và Công Nghệ OSB (Osb Jsc.),"Hà Nội, Hồ Chí Minh",Negotiable,"C++, C#, Python, Kỹ Thuật Phần Mềm, Tiếng Anh",Vietnamworks,1 năm kinh nghiệm
Chuyên Viên Tối Ưu Vận Hành Ngành TMĐT Quốc Tế Amazon Thu Nhập 15-20Tr,data scientist,Any Level,N/A,Công Ty TNHH Equarus Decor,Hà Nội,$612.24-816.33,"ERP, Odoo, E Commerce, Quản Lý Hiệu Suất, Quản Lý Cở Sở Dữ Liệu",Vietnamworks,1 năm kinh nghiệm
Software Engineering Product Quality (Sw-Epq),software engineer,Any Level,N/A,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Negotiable,"Analytical Skills, Communication Skills, Problem-solving, Quality Management System, Software Engineering",Vietnamworks,3 năm kinh nghiệm
C# Lead Software Engineer (Remote),software engineer,Lead/Expert,N/A,Navigos Search's Client,"Hà nội, Hồ Chí Minh",$2000.00-3500.00,"C#, WPF, Revit, OOP, Logical Thinking",Vietnamworks,5 năm kinh nghiệm
Trưởng Phòng IT,IT professional,Any Level,N/A,Vifon,Hồ Chí Minh,$1500.00-3500.00,"Project Management, IT System Administration, IT Operations, ERP, Công Nghệ Thông Tin",Vietnamworks,3 năm kinh nghiệm
"Software Engineer - Integration Build (C, C++, Python) (Quantity: 03)",software engineer,Any Level,N/A,LG Electronics R&D Vietnam,Hà Nội,$2200.00,"C++, Java, Embedded Linux, Python, Kotlin",Vietnamworks,Không yêu cầu năm kinh nghiệm
"Java Developer (Spring, OOP)",software developer,Any Level,N/A,Techcom Securities (Tcbs),Hà Nội,$1000.00-2500.00,"Tài Chính Ngân Hàng, Java, Spring, OOP, Oracle",Vietnamworks,Không yêu cầu năm kinh nghiệm
Graphic Designer,data scientist,Any Level,N/A,Vacons Architects (Interior Design & Build),Hồ Chí Minh,$408.16-612.24,"Illustrator, Illustrator, Photoshop, Premiere, Premiere, Premiere, Quay Dựng Video, Thiết Kế 2D",Vietnamworks,1 năm kinh nghiệm
RF Engineer,software engineer,Any Level,N/A,Công Ty TNHH Công Nghệ Huawei Việt Nam,Hà nội,Negotiable,"Database Technology, Effective Communication, Radio Design, Software System Architecture, Telecommunications",Vietnamworks,2 năm kinh nghiệm
Data Governance,data engineer,Any Level,N/A,Ban Vien Company,Hồ Chí Minh,Negotiable,"ISO 27001, Data Governance Principles, Data protection regulations, Security Tools And Frameworks, Analytical Skills",Vietnamworks,Không yêu cầu năm kinh nghiệm
Analyst - IT Advisory - December 2024 Intake - VN,IT professional,Any Level,N/A,Deloitte Consulting SEA,Hà nội,Negotiable,"SQL, Oracle, System Analysis, ETL, System Design",Vietnamworks,Không yêu cầu năm kinh nghiệm
Product Owner (Domain Collection),product manager,Any Level,N/A,Công Ty Cổ Phần Kinh Doanh F88,Hà Nội,$900.00-1500.00,"Công Nghệ Thông Tin, Quản Lý Sản Phẩm, Agile, Scrum, Phát Triển Sản Phẩm",Vietnamworks,5 năm kinh nghiệm
Senior Fullstack Developer (Reactjs Base),full stack developer,Senior,N/A,Capgemini Vietnam,Hồ Chí Minh,Negotiable,"JavaScript ES6, AWS, Software Development, TypeScript, ReactJs",Vietnamworks,5 năm kinh nghiệm
Trợ Lý Phó Tổng Giám Đốc (Mảng CNTT),business intelligence analyst,Any Level,N/A,Tập Đoàn Tân Á Đại Thành,Hà Nội,Negotiable,"Trợ Lý, Công Nghệ Thông Tin, Agile, MS Power BI, Business Analysis",Vietnamworks,Không yêu cầu năm kinh nghiệm
Product Owner - Generative AI for Enterprise Customer Operations,product manager,Any Level,N/A,Trusting Social,Hồ Chí Minh,$2000.00-3000.00,"product owner, Product Development, business analyst, Product Management",Vietnamworks,5 năm kinh nghiệm
[ HO ] ATM Network And Operations Management,data scientist,Any Level,N/A,Shinhan Bank Vietnam,Hồ Chí Minh,Negotiable,"Banking, Economics, Finance, Teamwork, Atm Operation Management",Vietnamworks,1 năm kinh nghiệm
IT Audit Manager IT General Control (Itgc),IT professional,Any Level,N/A,"BDO Consulting Vietnam Co., Ltd.",Hồ Chí Minh,Negotiable,"General Control, Cybersecurity, Risk Management, Business Continuity, Team Work",Vietnamworks,4 năm kinh nghiệm
IT Associate Manager,IT professional,Any Level,N/A,Carlsberg Vietnam,Hồ Chí Minh,$1800.00-2500.00,"English Fluency, Financial Accounting, Programming Technology, Project Management, SQL Server, SQL Server",Vietnamworks,5 năm kinh nghiệm
Programmer-Analyst .Net / Full Stack .Net Developer,full stack developer,Any Level,N/A,LR-TEK,Hồ Chí Minh,$1000.00-2000.00,"Agile Methodologies, Bilingual In French And English, Microsoft Azure, SQL Server, SQL Server, Website Development",Vietnamworks,5 năm kinh nghiệm
Chuyên Gia Bảo Mật (Security Expert),IT professional,Lead/Expert,N/A,FPT Telecom,Hà Nội,Negotiable,"An Toàn Thông Tin, Bảo Mật Thông Tin, Xử Lý Sự Cố, Đánh Giá Bảo Mật",Vietnamworks,5 năm kinh nghiệm
Fresh Speed Up 2025 | Staff - IT,IT professional,Any Level,N/A,B.Braun Vietnam Company Ltd.,Hồ Chí Minh,Negotiable,"Công nghệ thông tin, Khoa Học Máy Tính, Tiếng Anh thành thạo",Vietnamworks,Không yêu cầu năm kinh nghiệm
"Back-end Developer (Java, SQL, Spring, English)",backend developer,Any Level,N/A,Công Ty TNHH Clever Creations Tech,Hồ Chí Minh,$500.00-1500.00,"Java, SQL, Chinese Madarin, Spring Framework, Lập Trình Web",Vietnamworks,1 năm kinh nghiệm
"Engineer, Advance Quality Planning",software engineer,Any Level,N/A,"Molex Vietnam Co., Ltd.",Hồ Chí Minh,Negotiable,"Human Affairs, Manufacture Process, Quality Control, Quality Inspection, Standards Creation",Vietnamworks,4 năm kinh nghiệm
Technical Support Engineer,IT support,Any Level,N/A,Công Ty TNHH Servers.com VN,Hồ Chí Minh,$500.00-1300.00,"Technical Support, System Administration, IT System Administration, Linux, Business English",Vietnamworks,1 năm kinh nghiệm
Senior UX/UI Designer,UX/UI designer,Senior,N/A,Capgemini Vietnam,Hồ Chí Minh,Negotiable,"Adobe Creative Suite, English, Thiết Kế UI-UX, Figma, HTML/CSS",Vietnamworks,5 năm kinh nghiệm
"Senior QC Inspector/ QC Supervisor, Footwear (Tien Giang)",QA engineer,Senior,N/A,Amer Sports Vietnam Limited,Hồ Chí Minh,$800.00-1800.00,"Footwear, Quality Control, Chinese, Inspection, Quality Assurance & Control, Quality Assurance & Control",Vietnamworks,3 năm kinh nghiệm
Infrastructure Engineer,software engineer,Any Level,N/A,Tổng Công Ty Bưu Điện Việt Nam - Vnpost,Hà Nội,$489.80-1102.04,"Python, Shell Script, Private Cloud, OSI, Cloud Computing",Vietnamworks,Không yêu cầu năm kinh nghiệm
Chuyên Viên Kiểm Thử Phần Mềm (Có Thể Nhận Việc Sau Tết),QA engineer,Any Level,N/A,Công Ty Chứng Khoán Yuanta Việt Nam,Hồ Chí Minh,$489.80-1224.49,"Viết Test Case, Kiểm Thử Phần Mềm, Chứng khoán, Test, API Testing",Vietnamworks,3 năm kinh nghiệm
IT Business Analyst,business analyst,Any Level,N/A,A.p. Moller-Maersk,Hồ Chí Minh,Negotiable,"WMS, MSSQL, Power BI, Communication skills",Vietnamworks,1 năm kinh nghiệm
IT Associate Manager,IT professional,Any Level,N/A,Perfetti Van Melle (Viet Nam) Limited,Hồ Chí Minh,Negotiable,"Analytical Skills, Communication Skills, Implementing Business Software, Project Management, SAP ERP",Vietnamworks,5 năm kinh nghiệm
Senior Business Intelligence,data analyst,Senior,N/A,Navigos Search's Client,Hà nội,$2000.00-2500.00,"Business Intelligence, Data Analysis, Machine Learning, Team Management",Vietnamworks,4 năm kinh nghiệm
"Nhân Viên Bảo Hành (Lĩnh Vực CCTV, Camera, It,...)",IT professional,Any Level,N/A,Công Ty Cổ Phần Nhà An Toàn,"Hà Nội, Hồ Chí Minh",$489.80-734.69,"CCNA, CCNP, MCSA",Vietnamworks,1 năm kinh nghiệm
Chuyên Viên Phân Tích Nghiệp Vụ (Senior Business Analyst) - Upto 35M,business analyst,Senior,N/A,Công Ty Cổ Phần 1Office,Hà Nội,$1428.57,"Phân tích nghiệp vụ, ERP, business analyst, Team Leader, Team Leader, Team Leader, Team Leader, Team Leader",Vietnamworks,3 năm kinh nghiệm
Chuyên Viên Kiểm Thử Phần Mềm,embedded systems engineer,Any Level,N/A,Trung Tâm Dịch Vụ Dữ Liệu Và Trí Tuệ Nhân Tạo Viettel (Viettel AI),Hà Nội,$830.00-1700.00,"Kiểm Thử, An Toàn Thông Tin, Nghiệm Thu, Công nghệ thông tin, Hệ Thống Thông Tin",Vietnamworks,5 năm kinh nghiệm
Business Analyst (BA),business analyst,Any Level,N/A,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,Hồ Chí Minh,Negotiable,"Business Analysis, Fashion Trend, Figma, Microsoft Visio, MS Office",Vietnamworks,2 năm kinh nghiệm
IT Staff Software Developer (On Board After Tet),software developer,Any Level,N/A,"Proterial Vietnam Co., Ltd.",Hải Dương,Negotiable,"Công Nghệ Thông Tin, C#, Android, SQL, ASP.NET",Vietnamworks,Không yêu cầu năm kinh nghiệm
"Japanese Business Operations Staff (in HCM, Hanoi, Da Nang)",data scientist,Any Level,N/A,Hitachi Digital Services,Hồ Chí Minh,Negotiable,"Japanese, Document, System Operations, English",Vietnamworks,2 năm kinh nghiệm
"Chuyên Viên Quản Trị Hệ Thống, Quản Trị Mạng",database administrator,Any Level,N/A,Công Ty Cổ Phần Chứng Khoán Việt Thành,Hồ Chí Minh,Negotiable,"Database Oracle, Network Management, Server System Management, System Administration, VMware",Vietnamworks,3 năm kinh nghiệm
CRM System and Infrastructure Manager,data engineer,Any Level,N/A,Abbott,Hồ Chí Minh,Negotiable,"Systems Integration, CRM Development, Infrastructure, IT Infrastructure Management, SQL",Vietnamworks,5 năm kinh nghiệm
Trưởng Phòng Kỹ Thuật,backend developer,Any Level,N/A,OPTIMA ROBOTICS COMPANY,N/A,Negotiable,"Arduino, Arduino, Arduino, C#, Python, Robot Control Programming, STM32, STM32",Vietnamworks,Không yêu cầu năm kinh nghiệm
IT Technical Support,IT support,Any Level,N/A,Carl Zeiss Vietnam Company Limited,"Hà Nội, Hồ Chí Minh",Negotiable,"Customer Support, Technical Assistance, Asset Management, ITSM, System Monitoring",Vietnamworks,4 năm kinh nghiệm
NV Phụ Trách An Ninh Mạng và An Toàn Dữ Liệu,network engineer,Any Level,N/A,Công Ty Cổ Phần Đầu Tư Phát Triển Giáo Dục Quốc Tế Hoàng Gia,Hồ Chí Minh,$600.00-800.00,"Cisco Firewall Security, CentOS, An Ninh Mạng, Hệ Thống Bảo Mật, Bảo Mật Hệ Thống",Vietnamworks,2 năm kinh nghiệm
Assistant Manager cum Team Lead - IT Department (IT Security & Risk Management Team),tech lead,Lead/Expert,N/A,"Mizuho Bank, Ltd.",Hà nội,Negotiable,"Communication, Cybersecurity, IT Risk Management, IT Security, Leadership",Vietnamworks,8 năm kinh nghiệm
Mid-Level Software Developer (Python),software developer,Intermediate,N/A,Celltron,Hồ Chí Minh,$1000.00,"Python, Ai/Ml Tools, API Development, Matplotlib",Vietnamworks,2 năm kinh nghiệm
Chuyên Viên Vận Hành Open Banking & Dịch Vụ Kết Nối - Khối CNTT,data engineer,Any Level,N/A,Ngân hàng Lộc Phát Việt Nam LPBank,Hà nội,Negotiable,"Hệ Thống Oracle, Lập Trình SQL Server, Linux, Quản Trị Hệ Thống, Vận Hành Hệ Thống",Vietnamworks,2 năm kinh nghiệm
Project Manager (IT Projects),project manager,Any Level,N/A,SV Technologies JSC,Hà nội,$1000.00-2000.00,"Quản Lý Dự Án Công Nghệ, Quản Trị Dự Án, Project Management, PMP, Business analysis",Vietnamworks,2 năm kinh nghiệm
Fullstack Developer (Nodejs/reactjs/python),full stack developer,Any Level,N/A,"AZPLAYS Co., LTD",Hồ Chí Minh,$1700.00-2100.00,"JavaScript, Python, NodeJS, ReactJS, Communication",Vietnamworks,Không yêu cầu năm kinh nghiệm
[Hồ Chí Minh] System Administrator (big Digital Transformation project) - open to onboard after Tet,system administrator,Any Level,N/A,Navigos Search's Client,Hà nội,$1000.00-1400.00,"MCSA, MCSE, Quản Trị Hệ Thống, Quản Trị Hệ Thống Mạng, VMware",Vietnamworks,3 năm kinh nghiệm
Web Developer (Tiếng Nhật N1~N4),software developer,Any Level,N/A,Công Ty TNHH Gmo-Z.com Financial System VN,Hà Nội,$1000.00-3000.00,"React, Website Development, Node.js, Tiếng Nhật N4, Unit Testing",Vietnamworks,Không yêu cầu năm kinh nghiệm
Kỹ Sư Network,data scientist,Any Level,N/A,Công Ty Cổ Phần Netnam,Hà Nội,$489.80-816.33,"Quản Trị Mạng, Network, Quản Trị Hạ Tầng Cisco, Chăm Sóc Khách Hàng, An Toàn Thông Tin",Vietnamworks,1 năm kinh nghiệm
On Job Training (Embedded Engineer),software engineer,Any Level,N/A,"Toshiba Software Development (Vietnam) CO., LTD",Hà nội,$134.69-306.12,"Embedded Systems, Linux, MATLAB, Teamwork, Tự Động Hóa",Vietnamworks,Không yêu cầu năm kinh nghiệm
Data and Business Intelligence Analyst,business intelligence analyst,Any Level,N/A,Schneider Electric Vietnam Limited,Hồ Chí Minh,Negotiable,"Data analysis, Business analysis",Vietnamworks,3 năm kinh nghiệm
Senior Software Tester – Securities IT,QA engineer,Senior,N/A,Public Bank Securities Vietnam Company Limited (PBSV),N/A,Negotiable,"Communication skills, Computer Science, Finance, Software Testing, Test Planning",Vietnamworks,3 năm kinh nghiệm
Russian speaking Network Provisioning,data scientist,Any Level,N/A,Công ty TNHH Servers.com VN,N/A,Negotiable,"Network Technology, Pc Background, Russian Language, English Speaking, Customer Focus",Vietnamworks,Không yêu cầu năm kinh nghiệm
Business Analyst Fresher (Dành Cho Sinh Viên Mới Tốt Nghiệp),business analyst,Intern,N/A,NashTech,Hồ Chí Minh,Negotiable,"Business Analysis, Data Analysis, Business Intelligence, Communication, English Language Proficiency",Vietnamworks,Không yêu cầu năm kinh nghiệm
Head of Digital Product,IT professional,Any Level,N/A,Công Ty Cổ Phần Thương Mại Và Dịch Vụ Fgf,Hà Nội,$4000.00-6000.00,"Product Management, Customer Experiences, Agile, Product Analyst, Digital Strategy",Vietnamworks,5 năm kinh nghiệm
Software Engineering Manager (Java/springboot),software engineer,Any Level,N/A,Navigos Search's Client,Hà nội,$3500.00-4000.00,"API RESTful, English Language Proficiency, Java, Software Development, Team Management",Vietnamworks,7 năm kinh nghiệm
Senior Backend Developer,backend developer,Senior,N/A,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,Hồ Chí Minh,Negotiable,"Data Structure, Back End Developer, OOP (Object Oriented Programming), Java, NodeJS",Vietnamworks,Không yêu cầu năm kinh nghiệm
Engineering Manager,software engineer,Any Level,N/A,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,Hà Nội,Negotiable,"Cloud Technologies, Project Management, Software Development, Agile, Product Development",Vietnamworks,Không yêu cầu năm kinh nghiệm
Process Quality Assurance - Lương Thưởng Hấp Dẫn,QA engineer,Any Level,N/A,Công Ty Cổ Phần Tư Vấn Công Nghệ Ngs (Ngsc),Hà Nội,$1500.00,"Công Nghệ Thông Tin, Đánh Giá Chất Lượng, QA, Agile Scrum, Tiếng Anh",Vietnamworks,3 năm kinh nghiệm
Technical Analyst,IT professional,Any Level,N/A,Công Ty Cổ Phần Gemadept,Hồ Chí Minh,Negotiable,"IT Management, Công nghệ thông tin, Triển Khai Ứng Dụng, Phân tích kỹ thuật",Vietnamworks,1 năm kinh nghiệm
Phó Trưởng Khoa Công Nghệ Thông Tin / Vice Dean of IT Program,IT professional,Any Level,N/A,Keiser University (Vietnam Center - Kuv),Hồ Chí Minh,$1500.00,"Tiếng Anh Thành Thạo, Công nghệ thông tin, Quản Lý Giáo Dục",Vietnamworks,3 năm kinh nghiệm
Service Desk Agent Asia,data scientist,Any Level,N/A,,N/A,Negotiable,"Citrix System, IT Helpdesk, Chinese fluency, English Language Proficiency, German",Vietnamworks,2 năm kinh nghiệm
Test Consultant (Automation),QA engineer,Any Level,N/A,Endava Việt Nam,Hồ Chí Minh,Negotiable,"Java, SDLC, REST API, Automation Testing, API Testing",Vietnamworks,10 năm kinh nghiệm
Project Manager,project manager,Any Level,N/A,Techcombank,Hà nội,$1000.00-2500.00,"Program Management, Waterfall, Product Development, Banking, Agile",Vietnamworks,8 năm kinh nghiệm
Information & Communication Technology (ICT) Executive,IT professional,Any Level,N/A,FUJIFILM Business Innovation Vietnam,Hồ Chí Minh,Negotiable,"IT Security, MS SQL, Computer Network, Windows System Administration, Team Work",Vietnamworks,3 năm kinh nghiệm
IT Security Engineer Cybersecurity & Networks,security engineer,Any Level,N/A,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,Hồ Chí Minh,$600.00-2000.00,"Network Security, System Security Management, Application Security Assessment, CEH, CISSP",Vietnamworks,Không yêu cầu năm kinh nghiệm
Fortran Developer (ASAP),software developer,Any Level,N/A,Hitachi Digital Services,Hồ Chí Minh,$1500.00-3500.00,"Công nghệ thông tin, Fortran, IT Phần Mềm, Software Programming, Coding Experience",Vietnamworks,Không yêu cầu năm kinh nghiệm
C# Software Engineer,software engineer,Any Level,N/A,Navigos Search's Client,"Hà nội, Hồ Chí Minh",$1500.00-2000.00,"C#, WPF, Revit, OOP, English",Vietnamworks,3 năm kinh nghiệm
"IT Helpdesk - IT Department, Head Office",IT support,Any Level,N/A,Public Bank Vietnam Ltd,Hà Nội,$550.00-1000.00,"Helpdesk, IT Helpdesk, Microsoft Windows, Digital Banking, Technical Support",Vietnamworks,Không yêu cầu năm kinh nghiệm
IT Helpdesk,IT support,Any Level,N/A,Chi Nhánh Olam Global Agri Việt Nam Tại Đồng Tháp,Hồ Chí Minh,$330.00-400.00,"Công Nghệ Thông Tin, IT System Administration, IT Operations, IT Helpdesk, IT",Vietnamworks,1 năm kinh nghiệm
Data Analyst & Reporting Executive,data analyst,Any Level,N/A,Shinhan Vietnam Finance Company Limited,Hồ Chí Minh,Negotiable,"Data analysis, Reporting, Excel VBA, SQL, Ms Power Bi, Power Query",Vietnamworks,1 năm kinh nghiệm
Senior Software Engineer (Generative AI),software engineer,Senior,N/A,Navigos Group,"Hồ Chí Minh, Hà nội",$1200.00-2500.00,"Collaborative Design, Machine Learning, Python Programming, Generative Ai Proficiency, Technical Expertise In Data-Driven Systems",Vietnamworks,5 năm kinh nghiệm
Process RD & Optimization Specialist (AI),data scientist,Any Level,N/A,"Vietnam Intersnack Cashew Co., Ltd",Hồ Chí Minh,Negotiable,"Data Analysis, Data Modeling, Microsoft Power Platform, MS SQL, Python (Tensorflow, Pytorch, Or Scikit-Learn)",Vietnamworks,2 năm kinh nghiệm
Moderation Quality Analyst,IT professional,Any Level,N/A,Gear Inc.,Hà nội,Negotiable,"Analytical Skills, English Communication, Content Moderation, Content Moderation, Content Moderation, Content Moderation, QA, QA/ QC",Vietnamworks,1 năm kinh nghiệm
Quản Trị Viên Quản Lý Microsoft 365 (Microsoft 365 Administrator),data scientist,Any Level,N/A,Hệ Thống Giáo Dục Archimedes School,Hà Nội,Negotiable,"IT, AI, CompTIA, Hệ Thống Mạng, CCNA, AI, IT",Vietnamworks,1 năm kinh nghiệm
Senior Software Engineer/ Digital Transformation Specialist (Kỹ Sư Phần Mềm Cao Cấp/chuyên Gia Chuyển Đổi Số),software engineer,Senior,N/A,Công Ty TNHH Một Thành Viên Đầu Tư Và Thương Mại The Garden,Hà Nội,Negotiable,"Software Development, Project Management, Database Development, Ecommerce Background, Effective Communication",Vietnamworks,6 năm kinh nghiệm
WordPress Developer,software developer,Any Level,N/A,AMERICAN DREAM HOME GROUP LLC,Hồ Chí Minh,$1000.00-2000.00,"HTML5, Wordpress Development, CSS, NextJs, Performance Enhancement",Vietnamworks,3 năm kinh nghiệm
Automotive Test Engineer (Manual),software engineer,Any Level,N/A,LG Electronics Development Vietnam Company Limited,Hà Nội,$600.00-1500.00,"Software Programming, Software Testing, Automation Test Script, Automotive Engineering, Automotive",Vietnamworks,1 năm kinh nghiệm
Senior Global Service Desk,DevOps engineer,Senior,N/A,SPS Vietnam S Ltd.,Hồ Chí Minh,$700.00-1200.00,"Microsoft Office 365, Azure Administration, ITIL, Network Systems, Service Desk",Vietnamworks,2 năm kinh nghiệm
Nhân Viên Công Nghệ Thông Tin,data analyst,Any Level,N/A,Công Ty Cổ Phần Dược Phẩm Vĩnh Phúc,Hồ Chí Minh,Negotiable,"Giải Quyết Vấn Đề, Giao Tiếp, Hệ Thống SAP, Sử Dụng Excel",Vietnamworks,2 năm kinh nghiệm
CVCC Phân Tích Kinh Doanh (Quản Trị Dữ Liệu Thu Hồi Nợ) – Rcc,data engineer,Any Level,N/A,VPBank - Https://tuyendung.vpbank.com.vn/,Hà Nội,Negotiable,"Databases, SQL, Phân Tích Kinh Doanh, Quản Lý Cở Sở Dữ Liệu, Quản Lý Thu Hồi Nợ",Vietnamworks,3 năm kinh nghiệm
Nhân Viên IT (Staff/ Senior Staff) - Lương Thưởng Hấp Dẫn,IT professional,Senior,N/A,Hanwha Vision Viet Nam Company Limited (Tên Cũ Là Hanwhatechwin Security Vietnam),Bắc Ninh,$400.00-550.00,"IT Phần Mềm, IT, Server System Management, Cấu Hình Tường Lửa",Vietnamworks,2 năm kinh nghiệm
"IOS Developer (Junior, HCM)",mobile developer,Junior,N/A,FPT Telecom,Hà Nội,Negotiable,"iOS Development, Material Design, Objective C, Swift, Swift, Web Service",Vietnamworks,1 năm kinh nghiệm
IT Security Manager,IT professional,Any Level,N/A,Chi Nhánh Công Ty TNHH KPMG,Hồ Chí Minh,Negotiable,"IT Security, IT Risk Management, IT Administration",Vietnamworks,Không yêu cầu năm kinh nghiệm
Giám Đốc Kỹ Thuật (CTO),data scientist,Any Level,N/A,Công Ty TNHH Sorimachi Việt Nam,Hồ Chí Minh,Negotiable,"AI, Big Data, IoT, Quản Lý Dự Án, AI, Technical Support",Vietnamworks,5 năm kinh nghiệm
Giám Đốc Vận Hành,data scientist,Any Level,N/A,CÔNG TY TNHH MOVE SYNC,Hồ Chí Minh,$4081.63,"Quản Lý Vận Hành, Marketing Development, Lãnh Đạo, Phân Tích Chiến Lược, Social Media",Vietnamworks,5 năm kinh nghiệm
Kỹ sư Thiết Kế Điện/ Điện tử & Phát triển hệ sinh thái số,data scientist,Any Level,N/A,Công Ty Điện Lạnh Hòa Phát,Hà Nội,$816.33-1020.41,"Ai, Cloud, IoT, Phát Triển Sản Phẩm, Thiết Kế Kỹ Thuật",Vietnamworks,2 năm kinh nghiệm
Head of IT Security and Governance Department,IT professional,Any Level,N/A,Shinhan Vietnam Finance Company Limited,Hồ Chí Minh,Negotiable,"IT Risk Management, IT Security, IT Governance, System Security Management, ISO",Vietnamworks,10 năm kinh nghiệm
CRM Team Leader,tech lead,Lead/Expert,N/A,Vietnam Australia International School (Vas),Hồ Chí Minh,Negotiable,"Data analysis, Engineering Application Softwares, CRM Systems, SQL Database, Salesforce CRM",Vietnamworks,2 năm kinh nghiệm
Senior Quality Inspector,IT professional,Senior,N/A,PetSafe Brands,Hồ Chí Minh,$800.00-1200.00,"Chinese Speaking, English Reading, Inspection Gauges/Tools, QC Report, Quality Inspection",Vietnamworks,3 năm kinh nghiệm
[Fresher - HCM] Lập Trình Viên IOS,mobile developer,Intern,N/A,Công Ty CP Giải Pháp Thanh Toán Việt Nam (VNPAY),Hà Nội,Negotiable,"Giao Tiếp Chủ Động, Git Source Control, Lập Trình iOS, Swift, Swift",Vietnamworks,1 năm kinh nghiệm
Embedded Test Lead (Joining Bonus),embedded systems engineer,Lead/Expert,N/A,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Negotiable,"Analytical skills, English communication, Embedded Test Lead, Automation system test, SW process test",Vietnamworks,5 năm kinh nghiệm
Kỹ Sư Hệ Thống (System Engineer),systems engineer,Any Level,N/A,Công Ty TNHH Canon Việt Nam,Hà Nội,$500.00-1000.00,"Domain Server, Linux, VMware, Zabbix, Ansible",Vietnamworks,Không yêu cầu năm kinh nghiệm
SAP Senior Consultant - SAP Controlling (CO) & Project System (PS),SAP consultant,Senior,N/A,Deloitte Consulting SEA,Hồ Chí Minh,Negotiable,"SAP, Consulting, Information Technology, SAP Consulting, Manufacturing Operations",Vietnamworks,Không yêu cầu năm kinh nghiệm
IT Service Delivery Manager,IT professional,Any Level,N/A,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Negotiable,"Customer Engagement, English Communication, IT Project Management, Leadership Skills, Team Management",Vietnamworks,10 năm kinh nghiệm
IT Business Analyst (Global),business analyst,Any Level,N/A,Wilmar CLV,Hồ Chí Minh,$612.24-1020.41,"business analyst, Database Technology, English, IT Knowledge, Product Management",Vietnamworks,1 năm kinh nghiệm
Planning Manager (Budget Management & Financial Controller)​/ Quản Lý Kế Hoạch (Mảng Ngân Sách & Kiểm Soát Tài Chính),data analyst,Any Level,N/A,Lotte Center Hanoi,N/A,Negotiable,"Business Planning, Corporate Finance, Financial Analysis, Vietnamese Communication, Power BI",Vietnamworks,3 năm kinh nghiệm
Governance-Risk-Compliance Consultant,data scientist,Any Level,N/A,FPT IS,Hà Nội,Negotiable,"ISO 27001, PCI DSS, NIST",Vietnamworks,Không yêu cầu năm kinh nghiệm
Lead Full Stack Developer (Technical Lead),full stack developer,Lead/Expert,N/A,CÔNG TY TNHH CIGRO VIETNAM,Hồ Chí Minh,Negotiable,"Agile Methodologies, Database Software, English Communication, Full Stack Development, HTML/CSS",Vietnamworks,3 năm kinh nghiệm
Chuyên Viên Đảm Bảo Chất Lượng (Process Quality Assurance) Upto 30M,QA engineer,Any Level,N/A,Công Ty Cổ Phần 1Office,Hà Nội,$1224.49,"ISO Audit, Scrum Master, Root Cause Analysis, QA Software, SaaS",Vietnamworks,3 năm kinh nghiệm
IT Specialist,IT professional,Any Level,N/A,ITECHWX COMPANY LIMITED,Hồ Chí Minh,$653.06-938.78,"Technical Support, Operations Administration, Helpdesk, IT Helpdesk",Vietnamworks,1 năm kinh nghiệm
