Job Title,Role,Level,Company,Years of Experience,Location,Salary Range,Required Skills,Source Platform
Network Engineer/ Kỹ Sư Mạng,software engineer,Junior,Samsung Electronics HCMC CE Complex,1,Hồ Chí Minh,Thương lượng,"CCNA, CCNP, Khắc Phục Sự Cố Mạng, Kĩ Thuật Mạng, Xử lí sự cố mạng",Vietnamworks
[Long An] IT Manager (Chinese Speaking),IT professional,Lead/Expert,Navigos Search,6,Hồ Chí Minh,Thương lượng,"ERP systems, Chinese, IT Management, Network, Infrastructure",Vietnamworks
Senior Technology Risk Consultant in HCMC Office,IT professional,Senior,Ernst & Young Vietnam Limited (EY Vietnam),3,"Hồ Chí Minh, Hà Nội",Thương lượng,"CISA, MIS, database management, ITSM, ISO 27001",Vietnamworks
Nhân Viên Quản Lý Chất Lượng QC (Cơ Khí),Embedded Systems Engineer,Junior,Công Ty TNHH Xe Buýt Daewoo Việt Nam,2,Hồ Chí Minh,$300.00-500.00,"QC, Ô Tô, ISO, AutoCAD",Vietnamworks
IT Phần Mềm,IT professional,Junior,Japfa Comfeed Vietnam Ltd,1,Hồ Chí Minh,Thương lượng,".NET, FrontEnd, Flutter, MySQL, Lập Trình Backend",Vietnamworks
Visual Product Designer,Data Scientist,Intermediate,Navigos Group,3,"Hồ Chí Minh, Hà Nội",$1224.49-1836.73,"Adobe Creative Suite, Branding, Collaboration, Illustration, Illustration, Visual Design",Vietnamworks
Nhân Viên IT Quản Trị Hệ Thống và Mạng (IT Helpdesk),IT Support,Junior,Công Ty Cổ Phần Western Pacific,2,Hồ Chí Minh,$1000.00-2000.00,"Quản Trị Website, IT Helpdesk, IT Administration, Giải Quyết Sự Cố Mạng, An Ninh Mạng",Vietnamworks
"Database Admin (Oracle, Linux) (Senior Level)",Business Analyst,Senior,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,2,Hồ Chí Minh,$800.00-2500.00,"Data Management, DBA, Linux OS, Oracle Database, Teamwork",Vietnamworks
Nhân Viên It Phần Mềm,IT professional,Intermediate,Trường THCS Và THPT Đinh Thiện Lý ( Lawrence S.ting School ),3,Hồ Chí Minh,Thương lượng,"HTML Programming, Jquery Or Angular, Web Application Technology, Sql Query Proficiency, Software Engineering",Vietnamworks
Chuyên Viên Cao Cấp Giám Sát An Ninh Thông Tin (SOC - Senior Threat Hunting & Incident Responder),security engineer,Senior,Công Ty Cổ Phần Chứng Khoán SSI,1,Hà Nội,$1300.00-2500.00,"Analytical Skills, Incident Response, IT Monitoring, Network Security, Threat Hunting",Vietnamworks
Senior Business Analyst (Analytics Consultant),Business Analyst,Senior,MiTek Việt Nam,2,Hồ Chí Minh,Thương lượng,"Business Analysis, Data Analytics, Business Analyst, English B2, Consultant",Vietnamworks
Process Quality Assurance (IT Software),QA Engineer,Intermediate,Hitachi Digital Services,4,Hồ Chí Minh,Thương lượng,"Communication Skills, ISO 9001, Quality Assurance, Quality Auditing, Software Process Development",Vietnamworks
Hanoi_Senior Python Dev (Onboard After Tet Holiday)_V000008,Backend Developer,Senior,Công Ty TNHH ZIGExN VeNtura,N/A,Hồ Chí Minh,Thương lượng,"Python, Web Development, English Communication, Microservices",Vietnamworks
KPMG Delivery Center (Kdc) Assistant,Data Scientist,Any Level,Chi Nhánh Công Ty TNHH KPMG,N/A,Hồ Chí Minh,Thương lượng,"Data Management, Data Processing, Accounting",Vietnamworks
Project Manager (IT field | ERM | D365 F&O),Project Manager,Lead/Expert,Chi Nhánh Công Ty TNHH KPMG,5,Hồ Chí Minh,Thương lượng,"Budget Management, Budget Management, English Communication, Manage ERP Software, Project Management, Risk Management",Vietnamworks
Nhân Viên Đảm Bảo Chất Lượng Dịch Vụ - QA,QA Engineer,Junior,Công Ty Cổ Phần Viễn Thông FPT,1,Hà Nội,$61.22-1020.41,"Cải Tiến Chất Lượng, Phần mềm quản lý, Phân Tích Số Liệu, Quản Trị Mạng, Vận Hành Hệ Thống Mạng",Vietnamworks
Chuyên Viên Thiết Kế,Embedded Systems Engineer,Junior,CÔNG TY TNHH LAVITE,1,Hồ Chí Minh,$489.80-734.69,"Thiết Kế Đồ Họa, Sử Dụng Phần Mềm, Tư Duy Sáng Tạo, Quản Lý Thời Gian, Kỹ năng làm việc nhóm",Vietnamworks
Senior Software Developer (Java/c#)[ Chấp Nhận Ứng Viên Đi Làm Sau Tết ],Software Developer,Senior,"Amkor Technology Vietnam LLC.,",1,Hồ Chí Minh,Thương lượng,"C#, Java Database, Java Se, JavaScript ES4, Java Web",Vietnamworks
Solution Engineer (Ict/it Solutions),software engineer,Junior,Công Ty TNHH Công Nghệ Hồng Cơ,2,Hồ Chí Minh,$400.00-1200.00,"Hạ Tầng Công Nghệ, Hạ Tầng Hệ Thống, Kỹ Thuật Máy Tính, ICT, IT Infrastructure Management",Vietnamworks
Data/senior Data Engineer,Data Engineer,Senior,Navigos Search's Client,5,Hà Nội,$2000.00-3000.00,"Cloud Computing, Communication, Python, Scala",Vietnamworks
Phú Quốc - Chuyên Viên Giám Sát IT - Dự Án Park Hyatt,IT professional,Any Level,Công Ty BIM Group Kiên Giang,N/A,N/A,$900.00-1200.00,"Quản Lý Cơ Điện, Giám Sát Cơ Điện, Điện Nhẹ, IT Project Management, IT Infrastructure Management",Vietnamworks
Consumer Banking Data Analyst,Business Analyst,Intermediate,Cathay United Bank,3,Taiwan,Thương lượng,"English, Chinese, Data Analytics, Data Processing, SQL",Vietnamworks
IT Intern (Work in Long Thành - Shuttle Bus from Bien Hoa),IT professional,Intern/Entry-level,Mainetti (Vietnam),1,Hồ Chí Minh,Thương lượng,"IT, SAP, Master Data Management SAP, SAP System, IT Management",Vietnamworks
Machine Learning Engineer,software engineer,Any Level,Stimulai,N/A,N/A,$800.00-1500.00,"Python, Machine Learning, Data Mining, Artificial Intelligence",Vietnamworks
"Software Engineer - Integration Build (Opensource System, C, C++, Python)",Software Engineer,Any Level,LG Electronics R&D Vietnam,N/A,Hà Nội,$2200.00,"C++, Python, Integration Management, Shell scripts, Linux",Vietnamworks
Business Analyst,Business Analyst,Intermediate,Titan Dealer Management Solutions Pty. Ltd.,4,Hồ Chí Minh,Thương lượng,"Business Analysis, Software Lifecycle Management, Agile Methodologies, Data Analysis, User Acceptance Testing",Vietnamworks
Business Analysis Executive,Business Intelligence Analyst,Junior,Công Ty TNHH Coats Footwear Việt Nam,2,Đồng Nai,$1000.00-1500.00,"Business Analysis, Business Model, Forecast Analysis, Power BI, Sales Analysis",Vietnamworks
Join The Ocean Villas As A IT Officer,IT professional,Junior,The Ocean Villas At The Ocean Resort,2,Hồ Chí Minh,Thương lượng,"System Administration, SQL Server, Technical Management, Windows Server, Backup",Vietnamworks
Project Process Analyst,Backend Developer,Any Level,Công Ty TNHH Japfa Comfeed Việt Nam,N/A,"Biên Hòa, Đồng Nai",Thương lượng,"English communication, Basic Python, FastAPI, Sql Queries",Vietnamworks
Full-Stack Developer (Đào Tạo Chuyển Đổi Sang Web3 Blockchain Expert) - Work Remotely,Full-stack Developer,Lead/Expert,Công ty TNHH Đầu tư Citizen Pathway,2,Hồ Chí Minh,Thương lượng,"JavaScript, Typescript, React, Node.js, Blockchain",Vietnamworks
Senior Full Stack Developer,Full-stack Developer,Senior,SG Zone,8,Hà Nội,$1800.00-2200.00,"PHP, JavaScript, Linux, REST API",Vietnamworks
Thực Tập Sinh Công Nghệ Thông Tin,Data Scientist,Any Level,Công Ty TNHH Sản Xuất Và Kinh Doanh Vinfast - Thành Viên Của Vingroup,N/A,Hà Nội,$200.00,"Công nghệ thông tin, AI, Tiếng Anh, IT Software, Lập Trình",Vietnamworks
Data Controller & Plant Admin,DevOps Engineer,Junior,Unilever Vietnam,1,Hồ Chí Minh,$600.00-700.00,"Basic English, Data Analysis, Inventory Control, System Monitoring",Vietnamworks
"DevOps Engineer (Network, Cloud)",DevOps Engineer,Intermediate,Skylab Innogram Vietnam LLC,3,Hồ Chí Minh,Thương lượng,"DevOps, Network, Cloud, Service Operations, Shell Script",Vietnamworks
IT Analyst (MES),IT professional,Any Level,Công Ty TNHH Sản Xuất First Solar Việt Nam,N/A,Hồ Chí Minh,Thương lượng,"SQL, Software Engineering, QC Systems",Vietnamworks
PLM Maintenance Senior,Backend Developer,Senior,VINFAST TRADING AND PRODUCTION JSC,5,Hà Nội,Thương lượng,"Analytical Skills, Java Web Framework, Information Technology, Engineering Software, Framework",Vietnamworks
Visual Designer,Data Scientist,Intermediate,Navigos Group,3,"Hồ Chí Minh, Hà Nội",$1224.49-1836.73,"Creative Problem Solving, Figma, Graphic Design, Illustrator, Illustrator, Photoshop",Vietnamworks
(Senior) Software Backend Engineer,Backend Developer,Senior,TIKI Company Limited,3,Hồ Chí Minh,Thương lượng,"Java, Golang, Microservices, Ci/Cd Methodologies, Problem-solving",Vietnamworks
Cyber Security Analyst/ Consultants,IT professional,Intermediate,C.E.O,3,Hà Nội,Thương lượng,"Cyber Security, Azure, SOC, Cloud, Network Infrastructure",Vietnamworks
Data Analyst and Project Assistant,Data Analyst,Any Level,Bosch Global Software Technologies Company Limited,N/A,Hồ Chí Minh,Thương lượng,"Data analysis, Excel, SQL, Data Visualization",Vietnamworks
BI Developer,Software Developer,Senior,MDC Precision Vietnam,5,Hồ Chí Minh,$1200.00,"Power BI, MS SQL, Database Development, Database Administration, Database Administration, Database Administration",Vietnamworks
Applied AI Scientist,Data Scientist,Junior,Công Ty Cổ Phần Giải Pháp Gene,1,Hồ Chí Minh,Thương lượng,"AI, Biological Data Analysis, Data Science, Ph.D, Master’s degree in AI",Vietnamworks
IT Infrastructure & Helpdesk Staff,IT Support,Any Level,"Piaggio Vietnam Co., Ltd (Pvn)",N/A,"Hà Nội, Vinh, Hồ Chí Minh",Thương lượng,"IT Infrastructure Management, Information Security, IT Helpdesk, Network Administration, Technical Support",Vietnamworks
Phát triển và Vận hành Giải pháp Công nghệ Thu hồi nợ,Frontend Developer,Junior,Ngân Hàng TMCP Quốc Tế Việt Nam (VIB),2,Hồ Chí Minh,Thương lượng,"Java, Problem Solving, Python, React Native, SQL",Vietnamworks
Chuyên Viên Lập Trình - Phòng Quản Trị Thông Tin,Backend Developer,Junior,Trường Đại Học Nguyễn Tất Thành,1,Hồ Chí Minh,$800.00-1500.00,"C#, .Net, SQL, ASP.NET, Lập Trình Phần Mềm",Vietnamworks
Kỹ Sư AI,Data Scientist,Junior,Công Ty TNHH Canon Việt Nam,2,Hà Nội,Thương lượng,"TOEIC, AI/ML, Python, PyTorch, MLOps",Vietnamworks
Senior Data Engineer ( AWS ),Data Engineer,Senior,GTV VIETNAM,5,N/A,Thương lượng,"AWS Services, Python, Data Engineer, Data Modeling Expertise, Data Warehouse Systems",Vietnamworks
Nhân Viên Kiểm Thử Phần Mềm - Junior Tester,QA Engineer,Junior,"Công Ty TNHH Thiết Bị Minh Tâm (Mitalab Co., Ltd)",N/A,Hà Nội,Thương lượng,"Agile, MySQL, Testing, Test Cases, SQL",Vietnamworks
Chuyên Viên Phân Tích Dữ Liệu,Business Intelligence Analyst,Junior,Công Ty Chứng Khoán Yuanta Việt Nam,2,Hồ Chí Minh,$1224.49,"Power BI, Tableau, SQL, Cơ Sở Dữ Liệu, Warehouse Design",Vietnamworks
Senior Consultant - Application Management Services - Outsystems - My,Backend Developer,Senior,Deloitte Consulting SEA,5,Hồ Chí Minh,Thương lượng,"Application Support, Outsystems Platform, Analytical Skills, Leadership Skills, English Speaking",Vietnamworks
Chuyên Viên NOC,Embedded Systems Engineer,Junior,Công Ty Cổ Phần Giải Pháp Công Nghệ Thông Tin Và Hạ Tầng Truyền Dẫn VinITIS,2,Hà Nội,Thương lượng,"Autocad, Hệ Thống Điện, Quản Lý Máy Chủ, Điện Công Nghiệp, Điện Lạnh",Vietnamworks
IT Software Developer,Software Developer,Junior,"Framas Footwear Technologies Co., LTD",1,Đồng Nai,Thương lượng,"AI, Python, Machine Learning, Digital transformation, IT Software",Vietnamworks
Senior IT Application Specialist,IT professional,Senior,"Danieli – Industrielle Beteiligung Co., Ltd",3,Hồ Chí Minh,Thương lượng,"ERP, Microsoft Power Platform, SharePoint, Project Management, Quản Lý Dự Án",Vietnamworks
Senior 3D Unity Developer,Software Developer,Senior,Navigos Search's Client,3,"Hà Nội, Hồ Chí Minh",$1200.00-1600.00,"Unity 3D, C#, Game Design, Team Management, Communication",Vietnamworks
Kỹ Sư Viễn Thông & CNTT,Data Scientist,Intermediate,Công Ty Cổ Phần Công Nghệ Tiên Phát - Tpcoms,3,Hồ Chí Minh,$612.24-734.69,"Network, OSI Model, Network Configuration, System Installation, English Communication",Vietnamworks
"Chuyên Gia Quản Lý Rủi Ro An Ninh Thông Tin Cấp 2, Phòng Quản Trị Rủi Ro Hoạt Động, Khối Quản Trị Rủi Ro",Data Scientist,Intermediate,Ngân Hàng TMCP Đại Chúng Việt Nam,4,Hà Nội,$1000.00-2000.00,"IT Security, Quản Trị Rủi Ro Thông Tin, An Ninh Dữ Liệu, Bảo Mật Dữ Liệu, An Ninh Thông Tin",Vietnamworks
Mobile Developer (Tiếng Nhật N1~N4),Mobile Developer,Any Level,Công Ty TNHH GMO-Z.com Financial System VN,N/A,Hà Nội,$1000.00-3000.00,"Tiếng Nhật N4, Unit Testing, Android, Mobile App Development, Kotlin",Vietnamworks
Fresher Thiết Kế Kịch Bản Game ($400-1000),Game Developer,Fresher,Công Ty Cổ Phần Trò Chơi Giáo Dục Việt,N/A,Hà Nội,$400.00-1000.00,"Game Design, Viết Kịch Bản, Thiết Kế Game, Game Mobile, Game 2D",Vietnamworks
Data Analyst Intern,Data Analyst,Intern/Entry-level,Công Ty Cổ Phần Giải Pháp Thanh Toán Số (MFast),N/A,Hồ Chí Minh,$8.16,"Data Analysis, Reconciliation Report, Data Checking, Report Builder, Collaboration",Vietnamworks
Operational Technology Lead Engineer,software engineer,Lead/Expert,B. Braun,3,Hà Nội,Thương lượng,"Automation, Data Analysis, Electronic Communication, IT Operations, Script Language",Vietnamworks
Nhân Viên IT - Việt Úc Bến Tre,IT professional,Junior,Công Ty TNHH MTV Việt Úc Bến Tre,1,Hồ Chí Minh,$350.00-400.00,Tiếng Anh,Vietnamworks
IT Support Engineer - Microsoft Premier Support,IT Support,Junior,ITECHWX COMPANY LIMITED,1,Hồ Chí Minh,$816.33-979.59,"English Language Proficiency, IT Support, Microsoft products knowledge, Customer Support, Technical Support",Vietnamworks
Chuyên Viên Kỹ Thuật ( Nhà Máy Karofi Hưng Yên ),Data Scientist,Junior,CÔNG TY CỔ PHẦN CÔNG NGHỆ TECOMEN,1,Hồ Chí Minh,$571.43-693.88,"Kĩ Thuật Tự Động Hóa, Làm Việc Nhóm, Phần Mềm Thiết Kế 3D, Quản Lý Chất Lượng, Đọc Bản Vẽ Kỹ Thuật",Vietnamworks
Nhân Viên IT Phần Mềm,IT professional,Any Level,Công Ty TNHH Khuôn Đúc Tsukuba Việt Nam,N/A,Hồ Chí Minh,Thương lượng,"C#, .NET, ERP, Sap, Web API",Vietnamworks
[Hot Job] Cloud Engineer (R&D Team - Upto 2000$/month),Cloud Engineer,Any Level,Công Ty Cổ Phần Sunteco,N/A,Hà Nội,$2000.00,"OpenStack, Kubernetes, Java, Golang, Cloud",Vietnamworks
Nhân Viên Hỗ Trợ Kỹ Thuật (Presales),Data Scientist,Junior,Công Ty Cổ Phần Synnex FPT,1,Hà Nội,Thương lượng,"Cấu Hình Lưu Trữ, Giám Sát Hệ Thống Máy Chủ, LINUX, Tư Vấn Sản Phẩm, Xây Dựng Giải Pháp",Vietnamworks
Chuyên Viên QA/QC Xây Dựng,QA Engineer,Senior,Công Ty Cổ Phần Kiến Trúc Tư Vấn Quản Lý Đông Dương,5,Hồ Chí Minh,Thương lượng,"Gia Công Áp Lực, Kiểm Soát Hồ Sơ, Làm Việc Nhóm, Quản Lý Chất Lượng, Tin Học Văn Phòng",Vietnamworks
Manual Test Specialist,QA Engineer,Junior,Netcompany,1,Hồ Chí Minh,Thương lượng,"Selenium, Manual Testing, Software Testing, QC, Test Case Design",Vietnamworks
Business Development Manager,Data Scientist,Lead/Expert,Công Ty Cổ Phần ITR VN,5,Hồ Chí Minh,Thương lượng,"Business Development, Channel Relationship Management, Communication, Healthcare Industry, Technology",Vietnamworks
Service Delivery Manager,Data Scientist,Lead/Expert,Pernod Ricard Vietnam,5,Hồ Chí Minh,Thương lượng,"Digital Strategy Planning, Technical Support, Technical Authority, Project Management, IT Operations",Vietnamworks
Test Engineer,software engineer,Intermediate,Công Ty TNHH Sagemcom Energy & Telecom,3,Hải Phòng,Thương lượng,"Technical Support, Fintech, Product Development, Software Testing, Test",Vietnamworks
[Up to 33Mil] - IT Support - Good English,IT Support,Junior,Navigos Search,2,Hồ Chí Minh,$1000.00-1200.00,"English, System Administration, IT Support, Helpdesk",Vietnamworks
Chuyên Viên Front End,Frontend Developer,Intermediate,Công Ty Cổ Phần Chứng Khoán KB Việt Nam,3,Hà Nội,$500.00-1000.00,"Front-End, JavaScript, AngularJS, CSS, RestAPI",Vietnamworks
Nhân Viên IT,IT professional,Junior,Công Ty Cổ Phần Thép Hòa Phát Hải Dương,1,Hồ Chí Minh,$489.80-571.43,"Vận Hành Máy Chủ, Quản Trị Hệ Thống Mạng, MES, Linux, Vận Hành Hệ Thống Mạng",Vietnamworks
Digital Project Executive,IT professional,Intermediate,Shinhan Vietnam Finance Company Limited,3,Hồ Chí Minh,Thương lượng,"Project Management, Business Process Management, Mobile Apps Design, Testing, Business Transformation",Vietnamworks
Senior IT Specialist,IT professional,Senior,"Gentherm Vietnam CO., LTD.",N/A,Hồ Chí Minh,Thương lượng,"IT Helpdesk, Microsoft Office, IT Infrastructure Design, Troubleshooting, Network",Vietnamworks
2D Game Artist,Game Developer,Senior,Athena Studio,5,Hồ Chí Minh,$816.33-1224.49,"VFX, Game 2D, Photoshop, Spine 2D, UI - UX",Vietnamworks
IT Helpdesk,IT Support,Junior,Công Ty TNHH Atec System Việt Nam,1,Hải Phòng,Thương lượng,"IT Operations, Server Management, Network Support, Information Technology, IT Helpdesk",Vietnamworks
Senior Consultant - Application Management Services - SAP Successfactors - My,SAP Consultant,Senior,Deloitte Consulting SEA,N/A,Hồ Chí Minh,Thương lượng,"SAP, Consulting, Information Technology, SAP Consulting, Manufacturing Operations",Vietnamworks
Digital Project Manager,Project Manager,Lead/Expert,Shinhan Vietnam Finance Company Limited,8,Hồ Chí Minh,Thương lượng,"Project Management, Digital Banking, Mobile App, product owner, Team Management",Vietnamworks
IT Support,IT Support,Junior,TMG Hospitality,2,Hà Nội,$693.88-938.78,"Điện tử viễn thông, Công Nghệ Thông Tin, Quản Trị Hệ Thống, Quản Lý Server, Bảo Trì",Vietnamworks
QA/QC Tester,QA Engineer,Junior,CT TNHH Next Wave Energy Monitoring,1,Hồ Chí Minh,Thương lượng,"Postman, Web Service, Usability Testing, JMeter, Testing",Vietnamworks
Superintendent SAP And Applications Development,DevOps Engineer,Intermediate,Masan High-Tech Materials,3,Thái Nguyên,Thương lượng,"Microsoft Office 365, Azure Cloud Platform, Application Development, .Net Core, Web Development, Web Development, Web Development",Vietnamworks
Associate Art Producer (Chinese & English speaking),Data Scientist,Junior,Sparx* - A Virtuos Company,2,Hồ Chí Minh,Thương lượng,"Chinese proficiency, Communication Skills, English, Production Management, Project Management",Vietnamworks
Database Administrator,Business Analyst,Intermediate,TL Consulting VN Co. Ltd,3,N/A,Thương lượng,"Oracle Database Knowledge, DBA, Computer Hardware Troubleshooting, Software Troubleshooting, Computer Science",Vietnamworks
Nhân Viên IT – Lập Trình,IT professional,Junior,Công Ty TNHH Thủ Công Mỹ Nghệ Và Nội Thất Ngọc Sơn,2,Hà Nội,Thương lượng,"SQL, .NET, VB.NET, Lập Trình, C#",Vietnamworks
Project Manager,Project Manager,Lead/Expert,"Rochdale Spears Co., Ltd.",5,Bình Dương,Thương lượng,"Digital transformation, Leadership, Project Management, Risk Management, Stakeholder Management",Vietnamworks
APAC Data Analyst,Data Analyst,Intermediate,"ENERCON VIETNAM CO., LTD.",3,Hồ Chí Minh,Thương lượng,"Data Analysis, Data Visualization, Statistical Analysis, Excel Skills, Communication Skills",Vietnamworks
ReactJS Developer (Front-End),Frontend Developer,Junior,IIG Việt Nam,2,Hà Nội,$800.00-1200.00,"ReactJS, Front End, CSS, JavaScript, AngularJS",Vietnamworks
Nhân Viên Quản Trị Mạng – Netwok Staff,Network Engineer,Junior,Global Data Service Joint Stock Company (Gds),1,Hà Nội,$591.84,"Firewall, IT System Administration, CCNA, Cấu Hình Router",Vietnamworks
Senior Consultant | Technology Transformation (Financial Services) in HCMC & Hanoi Office,IT professional,Senior,Ernst & Young Vietnam Limited (EY Vietnam),2,"Hồ Chí Minh, Hà Nội",Thương lượng,"Core Banking, Project Managing, Payment, CRM, Fintech",Vietnamworks
IT Engineer ( $500-$1000),software engineer,Any Level,Công Ty TNHH Nanofab Việt Nam,N/A,Hải Dương,$500.00-1000.00,"CCNA, Công nghệ thông tin, IT System Development, Kĩ Thuật Mạng, LINUX",Vietnamworks
"Associate, IT/ IS",IT professional,Junior,NAB Innovation Centre Vietnam,2,Hồ Chí Minh,Thương lượng,"IT Helpdesk, Infrastructure Security, LAN, Windows Operating Systems, Mac",Vietnamworks
Nhân Viên IT Helpdesk,IT Support,Junior,Công ty Cổ phần Logistics Hàng không (ALS),1,Hà Nội,$489.80-653.06,"Bảo Trì Hệ Thống Máy Tính, Xử Lý Sự Cố, Đọc Tiếng Anh, Lập Trình, Quản Lý Cở Sở Dữ Liệu",Vietnamworks
Business Applications Analyst,Data Scientist,Any Level,The Grand Ho Tram,N/A,Vũng Tàu,Thương lượng,"IT System Administration, System Analyst, Project Management",Vietnamworks
Chuyên Viên IT,IT professional,Junior,Văn Phòng Phú Thái Group,1,Hà Nội,Thương lượng,"Hệ Thống Networks, Microsoft Power BI, MySQL, Helpdesk, Quản Trị Hệ Thống",Vietnamworks
"Fullstack Developer (Python/golang, Java/ ReactJS)",Full-stack Developer,Junior,CT TNHH Next Wave Energy Monitoring,1,Hồ Chí Minh,Thương lượng,"API, Java, ReactJs, Python, Software Development",Vietnamworks
Chuyên Viên Cao Cấp An Ninh Ứng Dụng (Application Security Engineer),Security Engineer,Junior,Công Ty Cổ Phần Chứng Khoán SSI,1,Hà Nội,$1300.00-2500.00,"Cybersecurity, Giao Tiếp, Penetration Testing, Secure Coding, An Ninh Ứng Dụng",Vietnamworks
IT Salestech Business Analyst,Business Analyst,Intermediate,Nestlé Vietnam Limited,3,Hồ Chí Minh,Thương lượng,"Business Analysis, Product Management, Application Solution, Testing, Agile",Vietnamworks
Tester Tiếng Hàn,QA Engineer,Any Level,Snow Việt Nam,N/A,Hồ Chí Minh,$560.00,"QA, Test Cases, Software Testing, Korean Language, Quality Control",Vietnamworks
[BD] Senior IT Consultant Manager,IT Consultant,Senior/Lead/Expert,Bosch Global Software Technologies Company Limited,N/A,Hồ Chí Minh,Thương lượng,Business analysis,Vietnamworks
Business Data Analyst (Based in Manila/ Philipines),Business Analyst,Junior,Gamma Interactive Inc.,1,Hồ Chí Minh,$1000.00-1800.00,"Communication, Data Visualization, Python, SQL, Tableau",Vietnamworks
Senior Linux and Database Administrator,Business Analyst,Senior,Simpson Strong-Tie Vietnam Company Limited,3,Hồ Chí Minh,Thương lượng,"Database Administration, Database Administration, Database Administration, Linux System Administration, Shell Script, SQL Server, SQL Server, SQL Tunning",Vietnamworks
Kỹ Sư Hạ Tầng Mạng và Bảo Mật,Network Engineer,Any Level,Công Ty TNHH Canon Việt Nam,N/A,Hà Nội,$500.00-1000.00,"LAN, WAN, Wireless, SCCM, Hệ Thống Antivirus",Vietnamworks
"Senior Associate, Product Operations, SPX Express (prefer QA/QC Manual background)",Business Analyst,Senior,CÔNG TY TNHH SPX EXPRESS,3,N/A,$1000.00-1300.00,"QC Systems, QC Training, Software Manual Testing, Software Testing, UAT testing",Vietnamworks
Senior Data Engineer,Data Engineer,Senior,CÔNG TY CỔ PHẦN GREENFEED VIỆT NAM,3,Hồ Chí Minh,Thương lượng,"AWS, AWS, Data Warehouse Systems, Python, SQL, SQL Server, SQL Server",Vietnamworks
Chuyên Viên Công Nghệ Thông Tin,Network Engineer,Any Level,Công Ty Cổ Phần Địa Ốc Tsan Group,N/A,Hà Nội,$1000.00-1200.00,"Công Nghệ Thông Tin, IT System Administration, IT Support, Hệ Thống Mạng, LAN",Vietnamworks
Chuyên Viên Quản Trị Hệ Thống Mạng Điện Thoại và Hệ Thống Camera,Data Scientist,Junior,TRƯỜNG ĐẠI HỌC BÁCH KHOA ĐHQG-HCM,1,Hồ Chí Minh,$500.00,"Bảo Trì Hệ Thống, Giám Sát Camera, Quản Trị Hệ Thống Mạng, Công nghệ thông tin, Hạ Tầng Kỹ Thuật",Vietnamworks
Flutter Developer (Mobile/ Windows),Mobile Developer,Any Level,Bosch Global Software Technologies Company Limited,N/A,Hồ Chí Minh,Thương lượng,"Flutter, Android, Android Flutter Dart, Ios/Android, OS System",Vietnamworks
UX Researcher,UX/UI Designer,Senior,Techcombank,7,Hà Nội,$1000.00-2000.00,"Agile, Graphic Design, Photoshop, Usability Testing, UX Research",Vietnamworks
IT Security Engineer,Security Engineer,Any Level,Sabeco - Tổng Công Ty Cổ Phần Bia - Rượu - Nước Giải Khát Sài Gòn,N/A,Hồ Chí Minh,Thương lượng,"IT Security, IT Governance, Cyber Risk Management, IT Operations, Network Technology",Vietnamworks
Experienced Automation Tester,QA Engineer,Intermediate,Capgemini Vietnam,4,Hồ Chí Minh,Thương lượng,"Java, API Testing, Web Automation Testing, Ci/Cd Pipelines, Automation Test Script",Vietnamworks
[$4000 - $5000] Software Engineering Manager (Front-End),Frontend Developer,Lead/Expert,Navigos Search's Client,5,Hà Nội,$4000.00-5000.00,"Angular, Angular, Angular, Front-End, Kotlin, Swift, Swift, Typescript",Vietnamworks
Sharepoint Business Analyst,Business Analyst,Intermediate,"Rochdale Spears Co., Ltd.",3,Bình Dương,$1000.00,"SharePoint, business analyst, Project Management, Power BI, Power Automate",Vietnamworks
Application Engineer,software engineer,Intermediate,Ascendas Systems Co. Ltd,3,Hà Nội,Thương lượng,"MATLAB, Simulink, Python, Software Development, Engineering",Vietnamworks
Business Assistant,Data Analyst,Junior,Công Ty TNHH Advantech Việt Nam Technology,2,Hồ Chí Minh,$448.98-571.43,"Business Management, CRM Program Management, Data Analysis, PowerBI, PowerBI",Vietnamworks
UX Designer,UX/UI Designer,Intermediate,Techcombank,3,Hà Nội,Thương lượng,"Agile, Software Prototyping, User Experience Development, Visual Design, Workshop Design",Vietnamworks
Software Team Leader (Upto $1700),Tech Lead,Lead/Expert,Công Ty Cổ Phần Capella Group,5,Hà Nội,$1700.00,"OOP (Object Oriented Programming), ASP.NET, C#, Entity Framework, .Net",Vietnamworks
Automation Software Tester (Selenium/ Java),QA Engineer,Any Level,Bosch Global Software Technologies Company Limited,N/A,Hồ Chí Minh,Thương lượng,"Java, Selenium",Vietnamworks
Full-Stack Test Manager - Salary Up to $3000,Full-stack Developer,Lead/Expert,FPT Software,8,"Hồ Chí Minh, Hà Nội, Đà Nẵng",$3000.00,"Software Testing, Java, Selenium, Agile Methodologies, C#",Vietnamworks
Bridge Project Manager (BPM),Project Manager,Lead/Expert,Vitalify Asia,2,Hồ Chí Minh,$2500.00,"Project Management, Japanese N2, DevOps, Kaizen",Vietnamworks
Chuyên Viên IT Hạ Tầng,IT professional,Junior,Công Ty Cổ Phần Tập Đoàn Thái Bình Dương,1,Hà Nội,$408.16-612.24,"CCNA, Cisco, Cisco, Hệ điều hành Linux, Network, Quản Trị Mạng",Vietnamworks
